UR	SF	FREQ
Vuɕd	vuʑd	1
ʐsiʑ	ʂsiʑ	1
gɔps	gɔps	1
zʂjV	sʂjv	1
fɨdg	fɨdg	1
zɔfʂ	zɔfʂ	1
kpɨʑ	kpɨʑ	1
fɨfV	fɨfv	1
zaʐɕ	zaʂɕ	1
dɕwg	tɕwg	1
zʂɛp	sʂɛp	1
kagz	kagz	1
biɕg	biʑg	1
sɕwʐ	sɕwʐ	1
pjzg	pjzg	1
tɔdg	tɔdg	1
Vuɕʑ	vuʑʑ	1
tɛbg	tɛbg	1
sadɕ	satɕ	1
bɛgz	bɛgz	1
kiʂV	kiʂv	1
skws	skws	1
ʑkwp	ɕkwp	1
pVwɕ	pvwɕ	1
sakV	sakv	1
ʐʑɔʑ	ʐʑɔʑ	1
zʐjV	zʐjv	1
zgag	zgag	1
kwbd	kwbd	1
tɔʂt	tɔʂt	1
psag	psag	1
sɨps	sɨps	1
Vipʂ	vipʂ	1
ʂʑaz	ʐʑaz	1
ɕgwt	ʑgwt	1
Vdɔɕ	vdɔɕ	1
ʑiʑz	ʑiʑz	1
zuss	zuss	1
dʑaʐ	dʑaʐ	1
dwdʐ	dwdʐ	1
ʐapg	ʐabg	1
zʐaʂ	zʐaʂ	1
gʂɔb	kʂɔb	1
ʑtaʑ	ɕtaʑ	1
diɕʐ	diʑʐ	1
fbig	vbig	1
ptuʂ	ptuʂ	1
ʐɛkb	ʐɛgb	1
Vgug	vgug	1
Vbɛʑ	vbɛʑ	1
ɕjkʂ	ɕjkʂ	1
kpwʂ	kpwʂ	1
fwbz	fwbz	1
daʂf	daʂf	1
tɛʐz	tɛʐz	1
zɕws	sɕws	1
zisz	zizz	1
kfɨz	kfɨz	1
fsup	fsup	1
kɨkʑ	kɨgʑ	1
Vdɨʑ	vdɨʑ	1
ztus	stus	1
Vgjg	vgjg	1
ʑɔdʐ	ʑɔdʐ	1
dtɔs	ttɔs	1
ʐubʐ	ʐubʐ	1
fɔbt	fɔpt	1
ʑɔdp	ʑɔtp	1
dɔfb	dɔvb	1
ʐɛzg	ʐɛzg	1
kɨVʂ	kɨfʂ	1
kkjk	kkjk	1
ʐVaʂ	ʐvaʂ	1
ʐɕɨk	ʂɕɨk	1
twzf	twsf	1
pɔgd	pɔgd	1
dɔzk	dɔsk	1
ɕsaʂ	ɕsaʂ	1
ʐʂɨt	ʂʂɨt	1
gɛɕs	gɛɕs	1
djɕz	djʑz	1
tzjʑ	dzjʑ	1
fjɕt	fjɕt	1
bisd	bizd	1
ʂbɔʐ	ʐbɔʐ	1
ʂɕɔk	ʂɕɔk	1
bwʑz	bwʑz	1
dVɨg	dvɨg	1
zfɛʂ	sfɛʂ	1
ʑɛʑs	ʑɛɕs	1
gɔkt	gɔkt	1
kɛbb	kɛbb	1
fuzs	fuss	1
bdjp	bdjp	1
ɕɛɕz	ɕɛʑz	1
Vgɔs	vgɔs	1
bbwz	bbwz	1
ʑɨtɕ	ʑɨtɕ	1
pɕɔʐ	pɕɔʐ	1
spɔV	spɔv	1
dɔʂf	dɔʂf	1
ʑgɔp	ʑgɔp	1
taʂf	taʂf	1
gzjɕ	gzjɕ	1
ssid	ssid	1
ʐwVk	ʐwfk	1
bpɔf	ppɔf	1
ʂass	ʂass	1
gɕwz	kɕwz	1
gbɛt	gbɛt	1
dwst	dwst	1
Vwtf	vwtf	1
Vigz	vigz	1
ʐwfp	ʐwfp	1
Vswʑ	fswʑ	1
skif	skif	1
ʂVɨs	ʂvɨs	1
zʐuf	zʐuf	1
bidk	bitk	1
bɨfʂ	bɨfʂ	1
zjpb	zjbb	1
kɔʂg	kɔʐg	1
ʐɕjp	ʂɕjp	1
sfud	sfud	1
ʐutd	ʐudd	1
pzɛp	bzɛp	1
tfis	tfis	1
ʐɛtɕ	ʐɛtɕ	1
ɕʑjV	ʑʑjv	1
diVf	diff	1
ʑɕɔɕ	ɕɕɔɕ	1
zkud	skud	1
ttɔʂ	ttɔʂ	1
ʂkup	ʂkup	1
gɨgV	gɨgv	1
dɔgb	dɔgb	1
Vɕɨʐ	fɕɨʐ	1
ɕgjʑ	ʑgjʑ	1
gʐug	gʐug	1
bɛds	bɛts	1
tɔsf	tɔsf	1
ʂɛɕt	ʂɛɕt	1
ʐtiʐ	ʂtiʐ	1
gɔpɕ	gɔpɕ	1
bɨsg	bɨzg	1
Vkug	fkug	1
bVwV	bvwv	1
ʐkɛp	ʂkɛp	1
tɛzʑ	tɛzʑ	1
zʑik	zʑik	1
ɕɕjz	ɕɕjz	1
ʑɨdʂ	ʑɨtʂ	1
ɕɔdʑ	ɕɔdʑ	1
ʐzwz	ʐzwz	1
sasb	sazb	1
Vuʑz	vuʑz	1
zzɛd	zzɛd	1
ʂʐjf	ʐʐjf	1
ʐfwd	ʂfwd	1
Vdjs	vdjs	1
dɔVʂ	dɔfʂ	1
zɔʐk	zɔʂk	1
tpɔɕ	tpɔɕ	1
ʐbaɕ	ʐbaɕ	1
kiʂz	kiʐz	1
pɨkʂ	pɨkʂ	1
bɛbɕ	bɛpɕ	1
zɛʂk	zɛʂk	1
ʂkab	ʂkab	1
kufɕ	kufɕ	1
ʐbib	ʐbib	1
ʑaɕf	ʑaɕf	1
kuɕʑ	kuʑʑ	1
ʑswk	ɕswk	1
sfaʑ	sfaʑ	1
Vɔpʐ	vɔbʐ	1
fjgz	fjgz	1
tɨdt	tɨtt	1
kikt	kikt	1
bubʑ	bubʑ	1
fɨzs	fɨss	1
tɛft	tɛft	1
ppuɕ	ppuɕ	1
ɕbɛʑ	ʑbɛʑ	1
pViʂ	pviʂ	1
zɛfg	zɛvg	1
giɕʐ	giʑʐ	1
ɕɛpz	ɕɛbz	1
ɕubg	ɕubg	1
tkwʑ	tkwʑ	1
kʑwd	gʑwd	1
buʑʑ	buʑʑ	1
gʐɨʂ	gʐɨʂ	1
sɨsʐ	sɨzʐ	1
ʂiVd	ʂivd	1
dfɔd	tfɔd	1
kɨʑf	kɨɕf	1
ʂɨtb	ʂɨdb	1
padz	padz	1
ʂgat	ʐgat	1
bʂab	pʂab	1
