UR	SF	FREQ
sVaf	svaf	1
ɕɛʂʂ	ɕɛʂʂ	1
ʑgɛd	ʑgɛt	1
zɨbv	zɨbf	1
ʐfwf	ʂfwf	1
Vɔtʑ	vɔdɕ	1
ʑdaɕ	ʑdaɕ	1
vuzz	vuzs	1
zazt	zast	1
Vʂaf	fʂaf	1
dɛzg	dɛzk	1
tpwp	tpwp	1
ʑɨdg	ʑɨdk	1
ʂɨʑf	ʂɨɕf	1
ʑsup	ɕsup	1
pkut	pkut	1
vbɛs	vbɛs	1
katV	katf	1
ɕɨʂf	ɕɨʂf	1
tiʑd	tiʑt	1
sɔtg	sɔdk	1
Vɨff	vɨff	1
ʂʑwb	ʐʑwp	1
vɨʂb	vɨʐp	1
bdɛg	bdɛk	1
daʂV	daʂf	1
kuʐs	kuʂs	1
ʐɛʑɕ	ʐɛɕɕ	1
kzaʑ	gzaɕ	1
tʂɔʑ	tʂɔɕ	1
ɕwtg	ɕwdk	1
gtib	ktip	1
sɛVf	sɛff	1
vvjɕ	vvjɕ	1
gpad	kpat	1
kɛsd	kɛzt	1
ʐpwɕ	ʂpwɕ	1
zzav	zzaf	1
zjVk	zjfk	1
ʐɨkz	ʐɨgs	1
ʑaʐʑ	ʑaʐɕ	1
Vɨkz	vɨgs	1
ʑʑap	ʑʑap	1
kʂuɕ	kʂuɕ	1
pbɛʂ	bbɛʂ	1
ktwp	ktwp	1
fʂud	fʂut	1
vɨʂz	vɨʐs	1
gjʑb	gjʑp	1
giVb	givp	1
ʐdɨV	ʐdɨf	1
ffɔk	ffɔk	1
zɛVʑ	zɛvɕ	1
kfjs	kfjs	1
zɕwk	sɕwk	1
bjʐf	bjʂf	1
sɛsʂ	sɛsʂ	1
ɕɔff	ɕɔff	1
djʐʑ	djʐɕ	1
vʂɛʐ	fʂɛʂ	1
bvɔg	bvɔk	1
ʂupp	ʂupp	1
bikp	bikp	1
zzɔɕ	zzɔɕ	1
vʑwV	vʑwf	1
ʂjzs	ʂjss	1
diss	diss	1
ʑVut	ʑvut	1
svɔv	zvɔf	1
kɔkg	kɔgk	1
tɨtt	tɨtt	1
dVɨb	dvɨp	1
bbad	bbat	1
sjgʐ	sjgʂ	1
bkwf	pkwf	1
vzaf	vzaf	1
ʂuVf	ʂuff	1
viɕz	viʑs	1
tʂɛʑ	tʂɛɕ	1
vsɔʐ	fsɔʂ	1
ʑVaV	ʑvaf	1
dɔkʑ	dɔgɕ	1
VVɛt	vvɛt	1
zsɔd	ssɔt	1
ʂʐɔt	ʐʐɔt	1
pʂɨɕ	pʂɨɕ	1
ʐjvs	ʐjfs	1
fɕjg	fɕjk	1
bVɔs	bvɔs	1
ʑduʂ	ʑduʂ	1
fwbz	fwbs	1
ʐusʂ	ʐusʂ	1
gVɨɕ	gvɨɕ	1
Vidz	vids	1
Viʂʑ	viʐɕ	1
fsat	fsat	1
bizv	bizf	1
tdwz	ddws	1
kuʂd	kuʐt	1
sɔbf	sɔpf	1
ʂɨvt	ʂɨft	1
pɕuʂ	pɕuʂ	1
siɕz	siʑs	1
zʂɨz	sʂɨs	1
bʑiʐ	bʑiʂ	1
sbuʑ	zbuɕ	1
gtwb	ktwp	1
ɕufs	ɕufs	1
vzaʐ	vzaʂ	1
bɔfʂ	bɔfʂ	1
bɛbʑ	bɛbɕ	1
bɔsd	bɔzt	1
kiVd	kivt	1
ʐjtk	ʐjtk	1
Vɨʂp	vɨʂp	1
zusv	zuzf	1
ʂɨsp	ʂɨsp	1
pʂwz	pʂws	1
zɨʑʑ	zɨʑɕ	1
tɨVf	tɨff	1
ʐvwg	ʐvwk	1
dʂɛk	tʂɛk	1
pɨbd	pɨbt	1
ʐʂwz	ʂʂws	1
Vtuv	ftuf	1
sgiʑ	zgiɕ	1
zʂwʑ	sʂwɕ	1
ʑvɔɕ	ʑvɔɕ	1
sɔkʐ	sɔgʂ	1
ʐɕɔs	ʂɕɔs	1
btɨf	ptɨf	1
ʑɨvV	ʑɨvf	1
Vsɔɕ	fsɔɕ	1
pjgz	pjgs	1
ʂidk	ʂitk	1
ʂʂiʂ	ʂʂiʂ	1
bɨʑz	bɨʑs	1
ʐɨʑʂ	ʐɨɕʂ	1
djfd	djvt	1
tsɔf	tsɔf	1
tɕɨɕ	tɕɨɕ	1
djkk	djkk	1
ʑtwg	ɕtwk	1
vɛpʐ	vɛbʂ	1
vtab	ftap	1
Vɔʑt	vɔɕt	1
ʑvid	ʑvit	1
pbup	bbup	1
kvud	gvut	1
dvuf	dvuf	1
zʑaf	zʑaf	1
kkɛʐ	kkɛʂ	1
futʂ	futʂ	1
bput	pput	1
ʂɛzʂ	ʂɛsʂ	1
kdwt	gdwt	1
zɛpʐ	zɛbʂ	1
vɨfk	vɨfk	1
ʑɨzd	ʑɨzt	1
ʐubp	ʐupp	1
tɛʂz	tɛʐs	1
ʂʂuf	ʂʂuf	1
Vʑjɕ	vʑjɕ	1
gkɛg	kkɛk	1
Vzɔp	vzɔp	1
kɨpv	kɨbf	1
ʂtwV	ʂtwf	1
