UR	SF	FREQ
ʂjgp	ʂjkp	1
dtwf	ttwf	1
ʂɕɨp	ʂɕɨp	1
fvws	vvws	1
kvuf	gvuf	1
ɕwkv	ɕwgv	1
gʑaʐ	gʑaʐ	1
twgʑ	twgʑ	1
bfuf	pfuf	1
ɕipk	ɕipk	1
batp	batp	1
ʐbav	ʐbav	1
zjʑg	zjʑg	1
dɛkt	dɛkt	1
daʑk	daɕk	1
ggaz	ggaz	1
ʑVut	ʑvut	1
fɔɕɕ	fɔɕɕ	1
fwzʂ	fwsʂ	1
skab	skab	1
ʂɨbʂ	ʂɨpʂ	1
ʐʑig	ʐʑig	1
gʐɛz	gʐɛz	1
tipʂ	tipʂ	1
sdis	zdis	1
sidk	sitk	1
ʐfaʂ	ʂfaʂ	1
pwsɕ	pwsɕ	1
kɔzf	kɔsf	1
ɕuzt	ɕust	1
tjtʐ	tjdʐ	1
ggjb	ggjb	1
bvwb	bvwb	1
pisv	pizv	1
sɛzk	sɛsk	1
ʑbjz	ʑbjz	1
faʑt	faɕt	1
ʂdɔɕ	ʐdɔɕ	1
vɨpk	vɨpk	1
dtub	ttub	1
zwsv	zwzv	1
pzwv	bzwv	1
fʂwv	fʂwv	1
djfɕ	djfɕ	1
gvit	gvit	1
tɛdɕ	tɛtɕ	1
stɔs	stɔs	1
ʐbɨz	ʐbɨz	1
bzjz	bzjz	1
Vɕɨd	fɕɨd	1
sʐɔp	zʐɔp	1
ʑtig	ɕtig	1
Vɛtt	vɛtt	1
sigv	sigv	1
ɕigb	ɕigb	1
vapV	vapv	1
sfiʂ	sfiʂ	1
tasɕ	tasɕ	1
ʐjVd	ʐjvd	1
fɨdb	fɨdb	1
zviV	zviv	1
bkuʐ	pkuʐ	1
ptɛf	ptɛf	1
tpwt	tpwt	1
tɔtʂ	tɔtʂ	1
fʑɨs	vʑɨs	1
ʑdɔt	ʑdɔt	1
ptjv	ptjv	1
gswg	kswg	1
ɕizɕ	ɕisɕ	1
ʑɔzf	ʑɔsf	1
pizk	pisk	1
ʂjʐʂ	ʂjʂʂ	1
zɛff	zɛff	1
gswʑ	kswʑ	1
vɛbs	vɛps	1
gʂɔk	kʂɔk	1
ʐwʂk	ʐwʂk	1
Vasp	vasp	1
vɕjʑ	fɕjʑ	1
kʐas	gʐas	1
pʑis	bʑis	1
Vbaʐ	vbaʐ	1
gʑjɕ	gʑjɕ	1
tɕaz	tɕaz	1
vzak	vzak	1
Vwvb	vwvb	1
pdiʂ	bdiʂ	1
ɕjtd	ɕjdd	1
duzV	duzv	1
kzap	gzap	1
sbuɕ	zbuɕ	1
twvf	twff	1
twsv	twzv	1
pzɛf	bzɛf	1
ztwʑ	stwʑ	1
gʂiz	kʂiz	1
pwVp	pwfp	1
bpiʂ	ppiʂ	1
bwɕp	bwɕp	1
tisp	tisp	1
pɔʐb	pɔʐb	1
Vɛʐz	vɛʐz	1
dbwV	dbwv	1
bkɛp	pkɛp	1
bɕab	pɕab	1
sVɔʑ	svɔʑ	1
tjgs	tjks	1
tjɕɕ	tjɕɕ	1
ʂwfʑ	ʂwvʑ	1
dVjd	dvjd	1
fjfv	fjvv	1
ʂbɨʐ	ʐbɨʐ	1
tjkk	tjkk	1
ʑuzb	ʑuzb	1
ʂɔʂɕ	ʂɔʂɕ	1
ɕʐwb	ʑʐwb	1
ɕgiʑ	ʑgiʑ	1
kɛfp	kɛfp	1
ʑjʂt	ʑjʂt	1
zadʑ	zadʑ	1
tfaʑ	tfaʑ	1
gɛdʐ	gɛdʐ	1
pgwʑ	bgwʑ	1
kɛʑg	kɛʑg	1
ʑuVʑ	ʑuvʑ	1
ʂsɨV	ʂsɨv	1
ʐʂiʂ	ʂʂiʂ	1
pɛdʂ	pɛtʂ	1
kvɔf	gvɔf	1
ʂuVz	ʂuvz	1
zjdb	zjdb	1
kdiV	gdiv	1
dɛʐb	dɛʐb	1
ɕuVb	ɕuvb	1
zsɔs	ssɔs	1
svut	zvut	1
szwk	zzwk	1
tgɨp	dgɨp	1
zuVf	zuff	1
ʑɨʐz	ʑɨʐz	1
ɕfjV	ɕfjv	1
bfjʂ	pfjʂ	1
sjpV	sjpv	1
gtwp	ktwp	1
dist	dist	1
kɛtk	kɛtk	1
fagt	fakt	1
zbiz	zbiz	1
ʑɨVp	ʑɨfp	1
pʐig	bʐig	1
Vsɨv	fsɨv	1
ɕpɛd	ɕpɛd	1
bɕɔf	pɕɔf	1
vdwʐ	vdwʐ	1
dɛVd	dɛvd	1
VVɛd	vvɛd	1
pɔtf	pɔtf	1
ʂgwɕ	ʐgwɕ	1
fɛzʑ	fɛzʑ	1
VbɛV	vbɛv	1
Vpaʐ	fpaʐ	1
sʐjf	zʐjf	1
dpɨb	tpɨb	1
zɕjv	sɕjv	1
ʂʂɨɕ	ʂʂɨɕ	1
dbɨɕ	dbɨɕ	1
ʂbaʑ	ʐbaʑ	1
ʑgjk	ʑgjk	1
zgwʐ	zgwʐ	1
vziv	vziv	1
ʑdwb	ʑdwb	1
dpɨʐ	tpɨʐ	1
zʐɛg	zʐɛg	1
gsjb	ksjb	1
ʑɔdd	ʑɔdd	1
zwvs	zwfs	1
vtɨV	ftɨv	1
ggjt	ggjt	1
fwʐV	fwʐv	1
Vgɛʑ	vgɛʑ	1
dɕiV	tɕiv	1
zʑɔp	zʑɔp	1
Vfuʑ	ffuʑ	1
fidt	fitt	1
gwzp	gwsp	1
kʑis	gʑis	1
ʂziʂ	ʐziʂ	1
bazʂ	basʂ	1
sɨtʂ	sɨtʂ	1
pzɛs	bzɛs	1
gbjs	gbjs	1
dsip	tsip	1
Vtwv	ftwv	1
ʐɔdf	ʐɔtf	1
dɕit	tɕit	1
ʑfjz	ɕfjz	1
ʐɛdg	ʐɛdg	1
kzuʐ	gzuʐ	1
ʂɛgp	ʂɛkp	1
ʂgjs	ʐgjs	1
sʐwʑ	zʐwʑ	1
Vɕiɕ	fɕiɕ	1
davf	daff	1
pdɨv	bdɨv	1
ʐkɔʑ	ʂkɔʑ	1
ɕtuʑ	ɕtuʑ	1
Vdiz	vdiz	1
gɔvʐ	gɔvʐ	1
ʐuʑz	ʐuʑz	1
dzɨV	dzɨv	1
dɕɨf	tɕɨf	1
bibz	bibz	1
tagf	takf	1
kusɕ	kusɕ	1
ppɛg	ppɛg	1
fVwv	fvwv	1
fɛpb	fɛbb	1
Viɕɕ	viɕɕ	1
ʂgjd	ʐgjd	1
ʂusʑ	ʂuzʑ	1
kzɛs	gzɛs	1
Vɛsv	vɛzv	1
ʑɨpg	ʑɨbg	1
bʐjt	bʐjt	1
dkɨʐ	tkɨʐ	1
Vakf	vakf	1
ʑzɔd	ʑzɔd	1
ʂɛkt	ʂɛkt	1
ʑjkz	ʑjgz	1
vaɕk	vaɕk	1
swpt	swpt	1
gɕwɕ	kɕwɕ	1
dVuʑ	dvuʑ	1
