UF	SF	Freq
bpi	ppi	1
kgi	ggi	1
pbi	bbi	1
gki	kki	1
kbi	gbi	1
pgi	bgi	1
bmi	bmi	1
pmi	pmi	1
kmi	kmi	1
gmi	gmi	1
bVi	bvi	1
pVi	pvi	1
kVi	kvi	1
gVi	gvi	1
Vbi	vbi	1
Vpi	fpi	1
Vgi	vgi	1
Vki	fki	1
bpa	ppa	1
kga	gga	1
pba	bba	1
gka	kka	1
kba	gba	1
pga	bga	1
bma	bma	1
pma	pma	1
kma	kma	1
gma	gma	1
bVa	bva	1
pVa	pva	1
kVa	kva	1
gVa	gva	1
Vba	vba	1
Vpa	fpa	1
Vga	vga	1
Vka	fka	1
bpi	ppi	1
kgi	ggi	1
pbi	bbi	1
gki	kki	1
kbi	gbi	1
pgi	bgi	1
bmi	bmi	1
pmi	pmi	1
kmi	kmi	1
gmi	gmi	1
bsi	psi	1
psi	psi	1
ksi	ksi	1
gsi	ksi	1
sbi	zbi	1
spi	spi	1
sgi	zgi	1
ski	ski	1
bpa	ppa	1
kga	gga	1
pba	bba	1
gka	kka	1
kba	gba	1
pga	bga	1
bma	bma	1
pma	pma	1
kma	kma	1
gma	gma	1
bsa	psa	1
psa	psa	1
ksa	ksa	1
gsa	ksa	1
sba	zba	1
spa	spa	1
sga	zga	1
ska	ska	1
bpi	ppi	1
kgi	ggi	1
pbi	bbi	1
gki	kki	1
kbi	gbi	1
pgi	bgi	1
bmi	bmi	1
pmi	pmi	1
kmi	kmi	1
gmi	gmi	1
bVi	bvi	1
pVi	pvi	1
kVi	kvi	1
gVi	gvi	1
Vbi	vbi	1
Vpi	fpi	1
Vgi	vgi	1
Vki	fki	1
bpa	ppa	1
kga	gga	1
pba	bba	1
gka	kka	1
kba	gba	1
pga	bga	1
bma	bma	1
pma	pma	1
kma	kma	1
gma	gma	1
bVa	bva	1
pVa	pva	1
kVa	kva	1
gVa	gva	1
Vba	vba	1
Vpa	fpa	1
Vga	vga	1
Vka	fka	1
bpi	ppi	1
kgi	ggi	1
pbi	bbi	1
gki	kki	1
kbi	gbi	1
pgi	bgi	1
bmi	bmi	1
pmi	pmi	1
kmi	kmi	1
gmi	gmi	1
bsi	psi	1
psi	psi	1
ksi	ksi	1
gsi	ksi	1
sbi	zbi	1
spi	spi	1
sgi	zgi	1
ski	ski	1
bpa	ppa	1
kga	gga	1
pba	bba	1
gka	kka	1
kba	gba	1
pga	bga	1
bma	bma	1
pma	pma	1
kma	kma	1
gma	gma	1
bsa	psa	1
psa	psa	1
ksa	ksa	1
gsa	ksa	1
sba	zba	1
spa	spa	1
sga	zga	1
ska	ska	1
